method,dataset,N,pred_len,seed,MSE,MAE,model_id
anti_clustering,solar_AL,137,720,2036,0.2500087022781372,0.2744709253311157,gi_anti_clustering_solar_AL_pl720_s2036
anti_clustering,solar_AL,137,720,2037,0.2514951527118683,0.27501705288887024,gi_anti_clustering_solar_AL_pl720_s2037
anti_clustering,solar_AL,137,720,2038,0.25138261914253235,0.27494415640830994,gi_anti_clustering_solar_AL_pl720_s2038
anti_clustering,solar_AL,137,720,2039,0.2515143156051636,0.2752206325531006,gi_anti_clustering_solar_AL_pl720_s2039
anti_clustering,solar_AL,137,720,2040,0.25042587518692017,0.2747747600078583,gi_anti_clustering_solar_AL_pl720_s2040
anti_clustering,solar_AL,137,720,2041,0.2504514157772064,0.2743810713291168,gi_anti_clustering_solar_AL_pl720_s2041
anti_clustering,solar_AL,137,720,2042,0.25034427642822266,0.27449679374694824,gi_anti_clustering_solar_AL_pl720_s2042
anti_clustering,solar_AL,137,720,2043,0.25155898928642273,0.27442237734794617,gi_anti_clustering_solar_AL_pl720_s2043
anti_clustering,solar_AL,137,720,2044,0.2504025101661682,0.2746599018573761,gi_anti_clustering_solar_AL_pl720_s2044
anti_clustering,solar_AL,137,720,2045,0.2529955208301544,0.2762940227985382,gi_anti_clustering_solar_AL_pl720_s2045
anti_clustering,solar_AL,137,720,2046,0.2501492500305176,0.27505412697792053,gi_anti_clustering_solar_AL_pl720_s2046
anti_clustering,solar_AL,137,720,2047,0.25125885009765625,0.27475544810295105,gi_anti_clustering_solar_AL_pl720_s2047
anti_clustering,solar_AL,137,720,2048,0.25043630599975586,0.27458056807518005,gi_anti_clustering_solar_AL_pl720_s2048
anti_clustering,solar_AL,137,720,2049,0.2500622272491455,0.2743808627128601,gi_anti_clustering_solar_AL_pl720_s2049
anti_clustering,solar_AL,137,720,2050,0.25133416056632996,0.2752435803413391,gi_anti_clustering_solar_AL_pl720_s2050
anti_clustering,solar_AL,137,96,2021,0.20033372938632965,0.23447783291339874,gi_anti_clustering_solar_AL_pl96_s2021
anti_clustering,solar_AL,137,96,2022,0.20200783014297485,0.23533602058887482,gi_anti_clustering_solar_AL_pl96_s2022
anti_clustering,solar_AL,137,96,2023,0.20164036750793457,0.2363967001438141,gi_anti_clustering_solar_AL_pl96_s2023
anti_clustering,solar_AL,137,96,2024,0.20350408554077148,0.23631733655929565,gi_anti_clustering_solar_AL_pl96_s2024
anti_clustering,solar_AL,137,96,2025,0.20316261053085327,0.23619762063026428,gi_anti_clustering_solar_AL_pl96_s2025
anti_clustering,solar_AL,137,96,2026,0.1988963782787323,0.23512589931488037,gi_anti_clustering_solar_AL_pl96_s2026
anti_clustering,solar_AL,137,96,2027,0.20501460134983063,0.23795375227928162,gi_anti_clustering_solar_AL_pl96_s2027
anti_clustering,solar_AL,137,96,2028,0.20508165657520294,0.2375355362892151,gi_anti_clustering_solar_AL_pl96_s2028
anti_clustering,solar_AL,137,96,2029,0.20006008446216583,0.23465046286582947,gi_anti_clustering_solar_AL_pl96_s2029
anti_clustering,solar_AL,137,96,2030,0.20031245052814484,0.23368273675441742,gi_anti_clustering_solar_AL_pl96_s2030
anti_clustering,solar_AL,137,96,2031,0.20041148364543915,0.2354148030281067,gi_anti_clustering_solar_AL_pl96_s2031
anti_clustering,solar_AL,137,96,2032,0.19731217622756958,0.23389294743537903,gi_anti_clustering_solar_AL_pl96_s2032
anti_clustering,solar_AL,137,96,2033,0.2084720879793167,0.2403832972049713,gi_anti_clustering_solar_AL_pl96_s2033
