method,pl,seed,mse,epoch1_loss,is_anomalous
finch_like,96,2050,0.3957954943180084,0.4178615,False
maximin_dispersion,192,2021,0.4158719778060913,0.3921367,False
maximin_dispersion,192,2022,0.4153003394603729,0.3958459,False
maximin_dispersion,192,2023,0.4155190587043762,0.3956991,False
maximin_dispersion,192,2024,0.4155089557170868,0.4112787,False
maximin_dispersion,192,2025,0.4152962863445282,0.389082,False
maximin_dispersion,192,2026,0.4132632613182068,0.3789114,False
maximin_dispersion,192,2027,0.4148296415805816,0.4061833,False
maximin_dispersion,192,2028,0.415402203798294,0.3918099,False
maximin_dispersion,192,2029,0.4142688512802124,0.3893954,False
maximin_dispersion,192,2030,0.4153987467288971,0.3820849,False
maximin_dispersion,192,2031,0.4154177010059356,0.3912883,False
maximin_dispersion,192,2032,0.4151034653186798,0.3931358,False
maximin_dispersion,192,2033,0.4159895479679107,0.3921294,False
maximin_dispersion,192,2034,0.4158840477466583,0.4078221,False
maximin_dispersion,192,2035,0.4153524339199066,0.3908028,False
maximin_dispersion,192,2036,0.4145561158657074,0.3851074,False
maximin_dispersion,192,2037,0.4153473675251007,0.405139,False
maximin_dispersion,192,2038,0.4154136180877685,0.4036164,False
maximin_dispersion,192,2039,0.4165264368057251,0.3971741,False
maximin_dispersion,192,2040,0.4141658246517181,0.3949385,False
maximin_dispersion,192,2041,0.414859414100647,0.3904495,False
maximin_dispersion,192,2042,0.4139137268066406,0.4040297,False
maximin_dispersion,192,2043,0.4164867103099823,0.4018977,False
maximin_dispersion,192,2044,0.4139676094055176,0.3877892,False
maximin_dispersion,192,2045,0.4149244129657745,0.3873826,False
maximin_dispersion,192,2046,0.4143404960632324,0.382226,False
maximin_dispersion,192,2047,0.4156142175197601,0.4332828,False
maximin_dispersion,192,2048,0.4156549870967865,0.3888579,False
maximin_dispersion,192,2049,0.4159687757492065,0.3982145,False
maximin_dispersion,192,2050,0.413808673620224,0.4016449,False
maximin_dispersion,336,2021,0.4318778216838836,0.4124127,False
maximin_dispersion,336,2022,0.4311897158622741,0.4155906,False
maximin_dispersion,336,2023,0.4301563799381256,0.3917992,False
maximin_dispersion,336,2024,0.4303528666496277,0.4223815,False
maximin_dispersion,336,2025,0.4309098124504089,0.4105332,False
maximin_dispersion,336,2026,0.4299584925174713,0.4085934,False
maximin_dispersion,336,2027,0.9675570726394652,0.6072637,True
maximin_dispersion,336,2028,0.4307338297367096,0.3939965,False
maximin_dispersion,336,2029,0.4309381246566772,0.4451445,False
maximin_dispersion,336,2030,0.4313476681709289,0.4040375,False
maximin_dispersion,336,2031,0.4317220449447632,0.4092789,False
maximin_dispersion,336,2032,0.4305670857429504,0.4100009,False
maximin_dispersion,336,2033,0.4306994676589966,0.3964765,False
maximin_dispersion,336,2034,0.4306540489196777,0.433526,False
maximin_dispersion,336,2035,0.4308837652206421,0.4047668,False
maximin_dispersion,336,2036,0.4305078983306885,0.4319339,False
maximin_dispersion,336,2037,0.4313226342201233,0.4244704,False
maximin_dispersion,336,2038,0.431233137845993,0.4058715,False
maximin_dispersion,336,2039,0.4309075474739074,0.4061704,False
maximin_dispersion,336,2040,0.429885059595108,0.4139343,False
maximin_dispersion,336,2041,0.4313949644565582,0.4066445,False
maximin_dispersion,336,2042,0.4311085939407348,0.4169,False
maximin_dispersion,336,2043,0.4318810999393463,0.4081581,False
maximin_dispersion,336,2044,0.4302881062030792,0.4036651,False
maximin_dispersion,336,2045,0.4305629134178161,0.4217027,False
maximin_dispersion,336,2046,0.4312405884265899,0.4291804,False
maximin_dispersion,336,2047,0.4297087788581848,0.4088724,False
maximin_dispersion,336,2048,0.4320856034755707,0.4135577,False
maximin_dispersion,336,2049,0.4322890341281891,0.4536878,False
maximin_dispersion,336,2050,0.4293453693389892,0.4518084,False
maximin_dispersion,720,2021,0.4643509685993194,0.4539301,False
maximin_dispersion,720,2022,0.4627118408679962,0.4542915,False
maximin_dispersion,720,2023,0.4625566899776459,0.4629739,False
maximin_dispersion,720,2024,0.4637270867824554,0.4583584,False
maximin_dispersion,720,2025,0.464562177658081,0.4745418,False
maximin_dispersion,720,2026,0.4628500938415527,0.4850792,False
maximin_dispersion,720,2027,0.4633875787258148,0.4655972,False
maximin_dispersion,720,2028,0.4673370122909546,0.543222,False
