model,variant,dataset,N,pred_len,FLOPs_G,Params_M,train_vram_GB,infer_vram_GB,train_ms_batch,infer_ms_batch
VG_iTransformer_SF,,kamp,228,336,1.2202,4.9881,0.3743,0.1461,25.7899,5.4340
VG_iTransformer_SF,,kamp,228,720,1.2658,5.1851,0.4205,0.1629,30.0184,5.4912
VG_iTransformer_SF,,care_wind,238,96,1.2462,4.8650,0.3598,0.1372,23.8529,5.8591
VG_iTransformer_SF,,care_wind,238,192,1.2581,4.9142,0.3661,0.1417,25.8774,5.4511
VG_iTransformer_SF,,care_wind,238,336,1.2760,4.9881,0.3839,0.1487,22.6050,5.5658
VG_iTransformer_SF,,care_wind,238,720,1.3235,5.1851,0.4317,0.1670,25.0935,5.5097
VG_iTransformer_SF,,basf,244,96,1.2752,4.8650,0.3624,0.1378,23.1623,5.4202
VG_iTransformer_SF,,basf,244,192,1.2874,4.9142,0.3688,0.1430,22.8154,5.3735
VG_iTransformer_SF,,basf,244,336,1.3057,4.9881,0.3871,0.1491,25.0584,5.3682
VG_iTransformer_SF,,basf,244,720,1.3544,5.1851,0.4345,0.1672,27.8854,5.4056
VG_iTransformer_SF,,sdwpf,2144,96,11.2850,4.8650,1.4275,0.4204,44.5078,12.5367
VG_iTransformer_SF,,sdwpf,2144,192,11.3906,4.9142,1.4538,0.4395,47.4234,12.6795
VG_iTransformer_SF,,sdwpf,2144,336,11.5490,4.9881,1.5287,0.4690,52.7948,12.7905
VG_iTransformer_SF,,sdwpf,2144,720,11.9713,5.1851,1.7322,0.5398,65.3037,13.1174
VG_iTransformer_SF,,ashrae,2362,96,12.4597,4.8650,1.5580,0.4508,46.6562,13.2652
VG_iTransformer_SF,,ashrae,2362,192,12.5760,4.9142,1.5877,0.4728,49.9286,13.4514
VG_iTransformer_SF,,ashrae,2362,336,12.7505,4.9881,1.6699,0.5021,54.9617,13.5847
VG_iTransformer_SF,,ashrae,2362,720,13.2156,5.1851,1.8883,0.5856,85.2125,13.9588
VG_iTransformer_SF,,bdg2,2817,96,15.0166,4.8650,1.9083,0.5493,56.4003,16.4977
