model,variant,dataset,N,pred_len,seed,MSE,MAE,provenance_id
Gateformer,,traffic,862,96,2024,0.38879919052124023,0.26183462142944336,gate_traffic_pl96_s2024
Gateformer,,traffic,862,96,2025,0.38941022753715515,0.2620784044265747,gate_traffic_pl96_s2025
Gateformer,,traffic,862,192,2021,0.4104163944721222,0.27105912566185,gate_traffic_pl192_s2021
Gateformer,,traffic,862,192,2022,0.40959152579307556,0.27113285660743713,gate_traffic_pl192_s2022
Gateformer,,traffic,862,192,2023,0.4084530472755432,0.2703793942928314,gate_traffic_pl192_s2023
Gateformer,,traffic,862,192,2024,0.40945708751678467,0.270672470331192,gate_traffic_pl192_s2024
Gateformer,,traffic,862,192,2025,0.40933170914649963,0.27079275250434875,gate_traffic_pl192_s2025
Gateformer,,traffic,862,336,2021,0.42540332674980164,0.27832648158073425,gate_traffic_pl336_s2021
Gateformer,,traffic,862,336,2022,0.423694372177124,0.27784302830696106,gate_traffic_pl336_s2022
Gateformer,,traffic,862,336,2023,0.424104779958725,0.27796661853790283,gate_traffic_pl336_s2023
Gateformer,,traffic,862,336,2024,0.42312103509902954,0.2781696915626526,gate_traffic_pl336_s2024
Gateformer,,traffic,862,336,2025,0.4247898757457733,0.2780688405036926,gate_traffic_pl336_s2025
Gateformer,,traffic,862,720,2021,0.4570286273956299,0.29640692472457886,gate_traffic_pl720_s2021
Gateformer,,traffic,862,720,2022,0.4586513042449951,0.29639899730682373,gate_traffic_pl720_s2022
Gateformer,,traffic,862,720,2023,0.4601815938949585,0.29698675870895386,gate_traffic_pl720_s2023
Gateformer,,traffic,862,720,2024,0.4589589536190033,0.2968118190765381,gate_traffic_pl720_s2024
Gateformer,,traffic,862,720,2025,0.4592150151729584,0.2970007061958313,gate_traffic_pl720_s2025
Nonstationary_Transformer,,electricity,321,96,2021,0.16877101361751556,0.270403116941452,ns_transformer_tslib_electricity_pl96_s2021
Nonstationary_Transformer,,electricity,321,96,2022,0.17011497914791107,0.2731868028640747,ns_transformer_tslib_electricity_pl96_s2022
Nonstationary_Transformer,,electricity,321,96,2023,0.16579867899417877,0.269530713558197,ns_transformer_tslib_electricity_pl96_s2023
Nonstationary_Transformer,,electricity,321,96,2024,0.16684097051620483,0.2690677344799042,ns_transformer_tslib_electricity_pl96_s2024
Nonstationary_Transformer,,electricity,321,96,2025,0.1675383448600769,0.27107709646224976,ns_transformer_tslib_electricity_pl96_s2025
Nonstationary_Transformer,,electricity,321,192,2021,0.18396982550621033,0.2847402095794678,ns_transformer_tslib_electricity_pl192_s2021
Nonstationary_Transformer,,electricity,321,192,2022,0.18610428273677826,0.2879800498485565,ns_transformer_tslib_electricity_pl192_s2022
Nonstationary_Transformer,,electricity,321,192,2023,0.18102595210075378,0.28240931034088135,ns_transformer_tslib_electricity_pl192_s2023
Nonstationary_Transformer,,electricity,321,192,2024,0.18114407360553741,0.2831050455570221,ns_transformer_tslib_electricity_pl192_s2024
Nonstationary_Transformer,,electricity,321,192,2025,0.18042421340942383,0.2813238501548767,ns_transformer_tslib_electricity_pl192_s2025
Nonstationary_Transformer,,electricity,321,336,2021,0.1978723406791687,0.3018442988395691,ns_transformer_tslib_electricity_pl336_s2021
Nonstationary_Transformer,,electricity,321,336,2022,0.1995183527469635,0.2999289929866791,ns_transformer_tslib_electricity_pl336_s2022
Nonstationary_Transformer,,electricity,321,336,2023,0.19708186388015747,0.2974472641944885,ns_transformer_tslib_electricity_pl336_s2023
Nonstationary_Transformer,,electricity,321,336,2024,0.1918984353542328,0.2931118905544281,ns_transformer_tslib_electricity_pl336_s2024
Nonstationary_Transformer,,electricity,321,336,2025,0.19196709990501404,0.29364660382270813,ns_transformer_tslib_electricity_pl336_s2025
